 ,Is there one from last year?,Complete 2024,On Page for Printing?,Dimensions,Frontage,Depth,Interactivity Time/Name Highlight Color,Neigborhood,Tea,Coffee,Sound,Food,Fire,Fire Circle,Kids,Bar,ADA,XXX,UnEvEn GROUND,Trees,RVs,Sound Zone,Sound Zone Data,Make SZ work?,Make SZ work? Data,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,Uneven Ground,Uneven Ground Data,Trees,Trees Data,ADA,ADA Data,Kids v Kids+,Kids,Kids Data,Kids +,Kids+ Reduct,Kids + Data,Bar,Bar Data,XXX,XXX Data,Fire,Fire Data,Fire Circle,Fire Circle Data,Dimensions,Dims 1st,Dims 2nd,Frontage,Depth,SqFt,SqFt,Sound Zone split,,,Food,Coffee,Tea,Sound Size,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Thur Morning,Thur Afternoon,Thur Late Aft,Thur Evening,Thur Late Nigt,Fri Morning,Fri Afternoon,Fri Late Aft,Fri Evening,Fri Late Night,Sat Morn,Sat Afternoon,Sat Late Aft,Sat Even,Sat Late Night,Sun Morn,Sun Aft,Sun Late Aft,Sun Even,Sun Late NIght,Morning,Afternoon,Late Afternoon,Evening,Late Night,Total Shifts,Camp Type,Morning,Afternoon,Late Afternoon,Evening,Late Night,% Morning,% Afternoon,% Late Afternoon,% Evening,% Late Night,Concat,Camp Highlight,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,1st Choice,2nd Choice,3rd Choice,neighborhood
Super Happy Invincible Titanic,,,,"We asked for 5000 sqft last year and it wasnt enough. If we could get even a little more, that would be fantastic! We're a very big build!",55,100,,UB LB MF , , ,Medium,, , , , , , , ,Trees,5,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,,,,2nd Choice,1st Choice,, ,No,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,"We asked for 5000 sqft last year and it wasnt enough. If we could get even a little more, that would be fantastic! We're a very big build!","We asked for 5000 sqft last year and it wasnt enough. If we could get even a little more, that would be fantastic! We're a very big build!",,55,100,,5500,Zone 2,2,SZ 2,,,,Medium,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,20,Theme Camp,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%,,,,3,,,,2,1,,UB ,LB ,MF ,UB LB MF 
Black Rock Center for Unlearning,,,,40'x60' (2400 sq. ft.),40,60,,MF NP UB , , , ,,Fire, , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,2nd Choice,,,,3rd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,4,4,4,0,12,Theme Camp,,,,,,0.00%,33.33%,33.33%,33.33%,0.00%,,,,1,2,,,,3,,MF ,NP ,UB ,MF NP UB 
Flower Bower,,,,30'x30' (900 sq. ft.),30,30,,MF UB RS ,Tea, , ,, , , , , , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,3rd Choice,,,2nd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 2,2,SZ 2,,,Yes,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,18,Theme Camp,,,,,,16.67%,16.67%,22.22%,22.22%,22.22%,,,,1,,3,,,2,,MF ,UB ,RS ,MF UB RS 
Camp Rejected,,,,40'x40' (1600 sq. ft.),40,40,MorningAfternoon,MF RS NP ,Tea, , ,, , , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,3rd Choice,2nd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x40' (1600 sq. ft.),40',40' (1600 sq. ft.),40,40, (1600 sq. ft.),1600,Zone 2,2,SZ 2,,,Yes,No,Afternoon (noon-4pm),"Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)", ,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,3,4,0,0,0,7,Theme Camp,Morning,Afternoon,,,,42.86%,57.14%,0.00%,0.00%,0.00%,MorningAfternoon,MorningAfternoon,,1,3,2,,,,,MF ,RS ,NP ,MF RS NP 
Dusty Bunnies,,,,70x60,70,60,AfternoonLate Afternoon,FE NP , , , ,, , ,Kids+, , , ,UnEvEn,Trees,1,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!", ,No, ,No, ,No, ,No,70x60,70,60,70,60,,4200,Zone 1,1,SZ 1,,,,No,None,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)",Afternoon (noon-4pm), , , , , , ,1,1, , , ,1,1, , , ,1, , , ,0,3,2,0,0,5,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,60.00%,40.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,1,,2,,,,,,FE ,NP ,,FE NP 
Possitopia,,,,Frontage (40') x Depth (30') (1200 sq. ft.),40,30,Art Support Camp,MZ RS MF , , , ,, , , , , , , , ,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,,2nd Choice,1st Choice,,,, ,No, ,No, ,No, , ,No, ,,, ,No, ,, ,No, ,,Frontage (40') x Depth (30') (1200 sq. ft.),Frontage (40') , Depth (30') (1200 sq. ft.),40,30,,1200,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,,3,,2,1,,,,MZ ,RS ,MF ,MZ RS MF 
Second Rodeo,,,,30'x30' (900 sq. ft.),30,30,Work Support Camp,MF NP MD, , , ,, , , , , , , ,Trees,2,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,,1st Choice,2nd Choice,,,,,3rd Choice, ,No,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 1,1,SZ 1,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,1,2,,,,,3,MF ,NP ,MD,MF NP MD
Caffeinated Catalyst,,,,50'x60' (3000 sq. ft.),50,60,,FE NP , ,Coffee, ,,Fire, , ,Bar, , ,UnEvEn,Trees,3,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 1,1,SZ 1,,yes,,No,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)",1,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, , ,4,4,4,0,0,12,Theme Camp,,,,,,33.33%,33.33%,33.33%,0.00%,0.00%,,,1,,2,,,,,,FE ,NP ,,FE NP 
I'd Smash that!,,,,20'x60' (1200 sq. ft.),20,60,Late AfternoonEvening,RS MF UB , , , ,Food+, , , , , , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,,1st Choice,,,3rd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 2,2,SZ 2,Food+,,,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, ,0,0,4,4,0,8,Theme Camp,,,Late Afternoon,Evening,,0.00%,0.00%,50.00%,50.00%,0.00%,Late AfternoonEvening,Late AfternoonEvening,,2,,1,,,3,,RS ,MF ,UB ,RS MF UB 
Dogs N Recreation,,,,20'x60' (1200 sq. ft.),20,60,AfternoonLate Afternoon,LB MD , , , ,Food, , , ,Bar, , , , ,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,,,,1st Choice,,2nd Choice, ,No, ,No, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 3,3,SZ 3,Food,,,No,Late Afternoon (4pm-8pm),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", , ,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,0,3,4,0,0,7,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,42.86%,57.14%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,,,,,,1,,2,LB ,MD ,,LB MD 
ChaosSymphony,,,,15x25 (375 sq. ft. - one travel trailer),15,25,Art Support Camp,MF UB MD, , , ,, , ,Kids+, , , , , ,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,,,2nd Choice,3rd Choice, ,No, ,No, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!", ,No, ,, ,No, ,,15x25 (375 sq. ft. - one travel trailer),15,25 (375 sq. ft. - one travel trailer),15,25,,375,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,,1,,,,,2,3,MF ,UB ,MD,MF UB MD
Spud Fuckers,,,,Frontage 50'X40',50,40,Morning,MF RS LB , , , ,Food, , , , , , ,UnEvEn, ,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,2nd Choice,,3rd Choice,,,UnEvEn,Yes, ,No, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,Frontage 50'X40',Frontage 50'X40',,50,40,,2000,Zone 2,2,SZ 2,Food,,,No,None,Morning (Sunrise-noon),Morning (Sunrise-noon),None, , , , , ,1, , , , ,1, , , , , , , , , ,2,0,0,0,0,2,Theme Camp,Morning,,,,,100.00%,0.00%,0.00%,0.00%,0.00%,Morning,Morning,,1,,2,,3,,,MF ,RS ,LB ,MF RS LB 
Watts-4-Lunch,,,,60'x60' (3600 sq. ft.),60,60,,MF RS UB , , , ,, , , , , , , , ,4,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,2nd Choice,,,3rd Choice,, ,No, ,No, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 2,2,SZ 2,,,,No,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,20,Theme Camp,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%,,,,1,,2,,,3,,MF ,RS ,UB ,MF RS UB 
Pancake Playhouse,,,,40'x80' (3200 sq. ft.),40,80,Morning,FE , ,Coffee, ,Food+, , , , , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 1,1,SZ 1,Food+,Yes,,No,None,Morning (Sunrise-noon),Morning (Sunrise-noon),Morning (Sunrise-noon), , , , , ,1, , , , ,1, , , , ,1, , , , ,3,0,0,0,0,3,Theme Camp,Morning,,,,,100.00%,0.00%,0.00%,0.00%,0.00%,Morning,Morning,1,,,,,,,,FE ,,,FE 
Love Games,,,,40'x40' (1600 sq. ft.),40,40,AfternoonLate Afternoon,MF NP RS ,Tea, ,Medium,, , , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,2nd Choice,3rd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x40' (1600 sq. ft.),40',40' (1600 sq. ft.),40,40, (1600 sq. ft.),1600,Zone 2,2,SZ 2,,,yes,Medium,Late Afternoon (4pm-8pm),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", , ,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,0,3,4,0,0,7,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,42.86%,57.14%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,,1,2,3,,,,,MF ,NP ,RS ,MF NP RS 
HYSS,,,,100'x50' (5000 sq. ft.),100,50,,MZ LB MF , , , ,,Fire, , ,Bar, , , , ,2,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,3rd Choice,,,1st Choice,2nd Choice,,, ,No, ,No, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 3,3,SZ 3,,,,Big,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,20,Theme Camp,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%,,,,3,,,1,2,,,MZ ,LB ,MF ,MZ LB MF 
Black Hole West,,,,40'x40' (1600 sq. ft.),40,40,Evening,NP RS FE , , , ,,Fire, ,Kids,Bar, , , ,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,3rd Choice,,1st Choice,2nd Choice,,,,, ,No,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No,Fire,Yes, ,No,40'x40' (1600 sq. ft.),40',40' (1600 sq. ft.),40,40, (1600 sq. ft.),1600,Zone 2,2,SZ 2,,,,No,Evening (8pm-Midnight),"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",Late Afternoon (4pm-8pm), , , ,1, , , , ,1,1, , , ,1,1, , ,1, , ,0,0,1,3,2,6,Theme Camp,,,,Evening,,0.00%,0.00%,16.67%,50.00%,33.33%,Evening,Evening,3,,1,2,,,,,NP ,RS ,FE ,NP RS FE 
Doses & Mimosas,,,,"55'x55' (3,025 sq. ft.)",55,55,Afternoon,UB MF LB , , , ,, , , ,Bar, , ,UnEvEn, ,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,,,,3rd Choice,1st Choice,,UnEvEn,Yes, ,No, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,"55'x55' (3,025 sq. ft.)",55',"55' (3,025 sq. ft.)",55,55," (3,025 sq. ft.)",3025,Zone 2,2,SZ 2,,,,Big,None,Afternoon (noon-4pm),Afternoon (noon-4pm),None, , , , , , ,1, , , , ,1, , , , , , , , ,0,2,0,0,0,2,Theme Camp,,Afternoon,,,,0.00%,100.00%,0.00%,0.00%,0.00%,Afternoon,Afternoon,,2,,,,3,1,,UB ,MF ,LB ,UB MF LB 
Art support camp Community Conch,,,,30'x30' (900 sq. ft.),30,30,Art Support Camp,FE NP RS , , , ,, , , , , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,2nd Choice,3rd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 1,1,SZ 1,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,1,,2,3,,,,,FE ,NP ,RS ,FE NP RS 
Touchy Feely,,,,60'x60' (3600 sq. ft.),60,60,,FE RS NP , , , ,, , ,Kids, , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,3rd Choice,2nd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 1,1,SZ 1,,,,No,None,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , , , , ,1,1,1,1, ,1,1,1,1, ,1,1,1,1, ,3,3,3,3,0,12,Theme Camp,,,,,,25.00%,25.00%,25.00%,25.00%,0.00%,,,1,,3,2,,,,,FE ,RS ,NP ,FE RS NP 
S*M*A*S*H,,,,100'x50' (5000 sq. ft.),100,50,Evening,RS , , , ,Food,Fire, ,Kids,Bar, , , ,Trees,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,1st Choice,,,,, ,No,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No,Fire,Yes, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,Food,,,No,Evening (8pm-Midnight),"Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Evening (8pm-Midnight)", , , ,1, ,1, ,1,1, ,1, , ,1, ,1,1, ,1, ,3,1,1,4,0,9,Theme Camp,,,,Evening,,33.33%,11.11%,11.11%,44.44%,0.00%,Evening,Evening,,,,1,,,,,RS ,,,RS 
Neon Dreams,,,,,0,0,Art Support Camp,NP FE RS , , , ,, , , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,,1st Choice,3rd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,,,,0,0,,0,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,2,,1,3,,,,,NP ,FE ,RS ,NP FE RS 
Church of Cheese,,,,50'x60' (3000 sq. ft.),50,60,AfternoonLate Afternoon,MF RS NP , , , ,Food, , ,Kids,Bar, , ,UnEvEn,Trees,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,3rd Choice,2nd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No, ,No, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 2,2,SZ 2,Food,,,No,None,Late Afternoon (4pm-8pm),None,Afternoon (noon-4pm), , , , , , , ,1, , , , , , , , ,1, , , ,0,1,1,0,0,2,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,50.00%,50.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,,1,3,2,,,,,MF ,RS ,NP ,MF RS NP 
Camp Butt Hurt,,,,40'x80' (3200 sq. ft.),40,80,Late AfternoonEvening,MF NP FE , , , ,, , ,Kids+,Bar, , ,UnEvEn,Trees,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,3rd Choice,1st Choice,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!",Bar,Yes, ,No, ,No, ,No,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 2,2,SZ 2,,,,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,3,4,4,0,11,Theme Camp,,,Late Afternoon,Evening,,0.00%,27.27%,36.36%,36.36%,0.00%,Late AfternoonEvening,Late AfternoonEvening,3,1,2,,,,,,MF ,NP ,FE ,MF NP FE 
Spider Town,,,,40'x70' (2800 sq. ft.),40,70,Late Night,UB NP RS , , , ,Food, , , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,2nd Choice,3rd Choice,,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,40'x70' (2800 sq. ft.),40',70' (2800 sq. ft.),40,70, (2800 sq. ft.),2800,Zone 2,2,SZ 2,Food,,,No,Late Night (Midnight-Sunrise),"Afternoon (noon-4pm), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Night (Midnight-Sunrise)",Late Night (Midnight-Sunrise), , , , ,1, ,1, , ,1, ,1, , ,1, , , , ,1,0,2,0,0,4,6,Theme Camp,,,,,Late Night,0.00%,33.33%,0.00%,0.00%,66.67%,Late Night,Late Night,,,2,3,,,1,,UB ,NP ,RS ,UB NP RS 
PolyJamorous Camp,,,,60'x60' (3600 sq. ft.),60,60,,UB NP MF , , ,Medium,, , , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,2nd Choice,,,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 2,2,SZ 2,,,,Medium,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,4,4,4,0,12,Theme Camp,,,,,,0.00%,33.33%,33.33%,33.33%,0.00%,,,,3,2,,,,1,,UB ,NP ,MF ,UB NP MF 
